year,month,categorie,value,shares
1984,1,0,0.0,0.0
1984,1,1,0.0,0.0
1984,1,2,83765.0,0.01345167834036496
1984,1,3,1.030862e6,0.16554436861822125
1984,1,4,1.715512e6,0.2754911432344795
1984,1,5,2.089191e6,0.3354996158728038
1984,1,6,1.145765e6,0.18399644521755218
1984,1,7,162009.0,0.026016748716578365
1984,1,8,0.0,0.0
1984,2,0,0.0,0.0
1984,2,1,0.0,0.0
1984,2,2,0.0,0.0
1984,2,3,8680.0,0.0013939063808794585
1984,2,4,593055.0,0.09523768994383264
1984,2,5,3.756032e6,0.6031747663119165
1984,2,6,1.651475e6,0.26520755073305347
1984,2,7,217862.0,0.03498608663031804
1984,2,8,0.0,0.0
1984,3,0,0.0,0.0
1984,3,1,0.0,0.0
1984,3,2,0.0,0.0
1984,3,3,155052.0,0.02489953596406933
1984,3,4,2.010227e6,0.3228189219258262
1984,3,5,3.93296e6,0.6315873317677045
1984,3,6,128865.0,0.020694210342399936
1984,3,7,0.0,0.0
1984,3,8,0.0,0.0
1984,4,0,0.0,0.0
1984,4,1,0.0,0.0
1984,4,2,0.0,0.0
1984,4,3,74310.0,0.011933316032621263
1984,4,4,1.829678e6,0.29382486626206983
1984,4,5,2.263979e6,0.36356852238215387
1984,4,6,1.762665e6,0.2830633630014851
1984,4,7,296472.0,0.047609932321669914
1984,4,8,0.0,0.0
1984,5,0,0.0,0.0
1984,5,1,0.0,0.0
1984,5,2,0.0,0.0
1984,5,3,4145.0,0.0006656384733577599
1984,5,4,126871.0,0.020373997286700207
1984,5,5,1.064304e6,0.17091476230363264
1984,5,6,2.556871e6,0.4106035486158574
1984,5,7,2.294383e6,0.36845104883425744
1984,5,8,180530.0,0.028991004486194547
1984,6,0,0.0,0.0
1984,6,1,0.0,0.0
1984,6,2,0.0,0.0
1984,6,3,0.0,0.0
1984,6,4,0.0,0.0
1984,6,5,0.0,0.0
1984,6,6,189703.0,0.03046408089538893
1984,6,7,2.228913e6,0.3579373333093521
1984,6,8,3.808488e6,0.6115985857952589
1984,7,0,0.0,0.0
1984,7,1,0.0,0.0
1984,7,2,0.0,0.0
1984,7,3,70626.0,0.011341708762211133
1984,7,4,1.624746e6,0.26091518625672544
1984,7,5,2.220499e6,0.35658614341433836
1984,7,6,1.175593e6,0.1887864728130444
1984,7,7,953248.0,0.1530804688664265
1984,7,8,182392.0,0.02929001988725417
1984,8,0,0.0,0.0
1984,8,1,50889.0,0.008172177628637646
1984,8,2,3.093196e6,0.49673106471322787
1984,8,3,2.512733e6,0.4035155025514268
1984,8,4,522493.0,0.0839062588323561
1984,8,5,47793.0,0.007674996274351609
1984,8,6,0.0,0.0
1984,8,7,0.0,0.0
1984,8,8,0.0,0.0
1984,9,0,0.0,0.0
1984,9,1,0.0,0.0
1984,9,2,371053.0,0.059586767781620475
1984,9,3,1.784149e6,0.28651344188245453
1984,9,4,2.508605e6,0.4028525940790454
1984,9,5,1.274231e6,0.20462658083115362
1984,9,6,272777.0,0.04380479272547881
1984,9,7,16289.0,0.0026158227002471774
1984,9,8,0.0,0.0
1984,10,0,0.0,0.0
1984,10,1,7568.0,0.001215332199365869
1984,10,2,332265.0,0.053357869083284944
1984,10,3,1.483708e6,0.23826613462694698
1984,10,4,2.148387e6,0.3450058004491333
1984,10,5,2.141784e6,0.34394543595225
1984,10,6,113392.0,0.018209427689018846
1984,10,7,0.0,0.0
1984,10,8,0.0,0.0
1984,11,0,43766.0,0.007028307219535759
1984,11,1,1.09465e6,0.17578797463475798
1984,11,2,2.664156e6,0.42783226360118604
1984,11,3,2.107164e6,0.338385869258005
1984,11,4,317368.0,0.05096558528651521
1984,11,5,0.0,0.0
1984,11,6,0.0,0.0
1984,11,7,0.0,0.0
1984,11,8,0.0,0.0
1984,12,0,0.0,0.0
1984,12,1,0.0,0.0
1984,12,2,5233.0,0.0008403585358458764
1984,12,3,168971.0,0.027134764410551036
1984,12,4,1.018232e6,0.163516138481066
1984,12,5,2.048482e6,0.3289622270641377
1984,12,6,1.956011e6,0.31411246704728235
1984,12,7,767287.0,0.12321730936242593
1984,12,8,262888.0,0.042216735098691144
1985,1,0,0.0,0.0
1985,1,1,0.0,0.0
1985,1,2,230506.0,0.037016565003571485
1985,1,3,1.534113e6,0.24636058752190423
1985,1,4,1.679181e6,0.26965680997137675
1985,1,5,2.061375e6,0.3310326919222804
1985,1,6,621884.0,0.09986728983488954
1985,1,7,100045.0,0.016066055745977584
1985,1,8,0.0,0.0
1985,2,0,0.0,0.0
1985,2,1,0.0,0.0
1985,2,2,0.0,0.0
1985,2,3,946371.0,0.15197610317733573
1985,2,4,3.680205e6,0.5909978378392267
1985,2,5,1.45033e6,0.23290601859227017
1985,2,6,150198.0,0.024120040391167386
1985,2,7,0.0,0.0
1985,2,8,0.0,0.0
1985,3,0,0.0,0.0
1985,3,1,0.0,0.0
1985,3,2,0.0,0.0
1985,3,3,1.422492e6,0.22843556169930676
1985,3,4,3.989373e6,0.6406465991253719
1985,3,5,815239.0,0.1309178391753213
1985,3,6,0.0,0.0
1985,3,7,0.0,0.0
1985,3,8,0.0,0.0
1985,4,0,0.0,0.0
1985,4,1,0.0,0.0
1985,4,2,0.0,0.0
1985,4,3,0.0,0.0
1985,4,4,16550.0,0.002657736244649198
1985,4,5,2.346635e6,0.37684210830588344
1985,4,6,3.294853e6,0.5291148180598879
1985,4,7,569066.0,0.09138533738957949
1985,4,8,0.0,0.0
1985,5,0,0.0,0.0
1985,5,1,0.0,0.0
1985,5,2,0.0,0.0
1985,5,3,258244.0,0.041470963067262084
1985,5,4,1.416558e6,0.22748263077025854
1985,5,5,2.767645e6,0.44445138542731905
1985,5,6,1.346166e6,0.21617849966854577
1985,5,7,438491.0,0.0704165210666146
1985,5,8,0.0,0.0
1985,6,0,0.0,0.0
1985,6,1,0.0,0.0
1985,6,2,0.0,0.0
1985,6,3,137389.0,0.02206306494961382
1985,6,4,1.334865e6,0.21436369137242609
1985,6,5,3.206191e6,0.5148767388500337
1985,6,6,1.525943e6,0.24504858117031608
1985,6,7,22716.0,0.0036479236576103433
1985,6,8,0.0,0.0
1985,7,0,0.0,0.0
1985,7,1,7340.0,0.001178718068623874
1985,7,2,443557.0,0.07123006135757488
1985,7,3,671640.0,0.10785752092786631
1985,7,4,1.121212e6,0.1800535208662004
1985,7,5,1.534993e6,0.24650190521950494
1985,7,6,1.753952e6,0.28166415720694565
1985,7,7,683767.0,0.10980497515377935
1985,7,8,10643.0,0.0017091411995046172
1985,8,0,127184.0,0.020424261422324085
1985,8,1,610751.0,0.09807946037194817
1985,8,2,648093.0,0.10407614839899895
1985,8,3,1.188245e6,0.19081823589263966
1985,8,4,1.634634e6,0.2625030832952204
1985,8,5,487954.0,0.07835969978982205
1985,8,6,898818.0,0.14433964809323885
1985,8,7,624049.0,0.10021496348864577
1985,8,8,7376.0,0.0011844992471620837
1985,9,0,1.061518e6,0.1704673633200923
1985,9,1,1.422235e6,0.22839429050807566
